,,,Current Location,,,,,Displacement Dynamics,,,,,,,Priority Need,Shelter Details (# of HHs),,,,,,,,,,,,,
IDPs,,,Marib,Majzar,,Al-Jafrah - ??????,22,Sana'a,Nihm,ODOG,2019-05-23,Conflict,General Conflict,,Food,0,0,0,0,0,0,22,0,0,0,0,,20190101 - 20190622,D05656
IDPs,,,Marib,Harib,,Al-Had Al-Rawdhah - ???? ??????,1,Al Bayda,Dhi Na'im,ODOG,2019-05-23,Conflict,General Conflict,,Food,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D05663
IDPs,,,Marib,Marib City,,Al Siyanah - ???????,3,Hajjah,Haradh,ODOG,2019-05-23,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,1,1,1,0,,20190101 - 20190622,D05944
IDPs,,,Marib,Marib City,,Jaw Al Nasim - ?? ??????,1,Hajjah,Mabyan,ODOG,2019-05-23,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05949
IDPs,,,Marib,Marib City,,Jaw Al Nasim - ?? ??????,1,Hajjah,Ash Shahil,ODOG,2019-05-23,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D05954
IDPs,,,Marib,Marib City,,Al Maghawir Walshabwani - ???????? ?????????,3,Hajjah,Washhah,ODOG,2019-05-23,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,1,1,,20190101 - 20190622,D05960
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,2,Hajjah,Washhah,ODOG,2019-05-23,Conflict,Hajjah Conflict,,Household Items (NFI),0,0,0,0,0,0,0,0,1,1,0,,20190101 - 20190622,D05971
IDPs,,,Al Dhale'e,Jahaf,Jahaf_2,Sharan,8,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-23,Conflict,????? ??? ????? ????,Rapid Onset Displacement,Shelter/Housing,0,0,0,5,0,0,0,0,3,0,0,,20190623 - 20190629,D06828
IDPs,,,Al Hudaydah,Ad Dahi,,Al-Jarabeh Al-Sufla - ??????? ??????,1,Al Hudaydah,Ad Durayhimi,ODSG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D04646
IDPs,,,Al Hudaydah,Ad Dahi,,Al-Jarabeh Al-Sufla - ??????? ??????,1,Al Hudaydah,Al Hali,ODSG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D04651
IDPs,,,Al Hudaydah,Ad Dahi,,Al-Jarabeh Al-Sufla - ??????? ??????,1,Al Hudaydah,Al Hali,ODSG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D04652
IDPs,,,Al Hudaydah,Ad Dahi,,Al-Maheisam - ???????,12,Al Hudaydah,Al Hawak,ODSG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,12,0,,20190101 - 20190622,D04654
IDPs,,,Ibb,An Nadirah,,Thee Jahdem - ?? ????,6,Ibb,An Nadirah,SDSG,2019-05-24,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,6,0,,20190101 - 20190622,D04683
IDPs,,,Shabwah,Ataq,, - ?? ??????,1,Taizz,Sabir Al Mawadim,ODOG,2019-05-24,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D04716
IDPs,,,Sana'a,Sa'fan,,Al-Hesn (Fort) - ?????,1,Al Hudaydah,Ad Durayhimi,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05038
IDPs,,,Ibb,Mudhaykhirah,,Al-Hwal Al-Ber - ????? ????,1,Taizz,At Ta'iziyah,ODOG,2019-05-24,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05049
IDPs,,,Ibb,Mudhaykhirah,,Al-Hwal Al-Ber - ????? ????,1,Taizz,Al Mudhaffar,ODOG,2019-05-24,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05050
IDPs,,,Ibb,Mudhaykhirah,,Al-Maqrodh - ???????,1,Al Dhale'e,Ad Dhale'e,ODOG,2019-05-24,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05053
IDPs,,,Shabwah,Al Talh,,Dhafarah - ?????,1,Shabwah,Al Talh,SDSG,2019-05-24,Natural Disaster,Drought,,Drinking Water,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05288
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah - ??????,1,Al Hudaydah,Hays,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05316
IDPs,,,Sana'a,Bani Hushaysh,, - ??? ???????,1,Hajjah,Abs,ODOG,2019-05-24,Natural Disaster,Torrent,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05322
IDPs,,,Ibb,Ibb,,Al-Lafj - ?????,3,Al Dhale'e,Qa'atabah,ODOG,2019-05-24,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D05330
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Carb - ?????,9,Al Dhale'e,Ad Dhale'e,SDSG,2019-05-24,Conflict,Al Dhale'e Conflict,,Food,4,0,0,0,0,0,0,0,5,0,0,,20190101 - 20190622,D05351
IDPs,,,Al Dhale'e,Jahaf,,Sharan - ????,16,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-24,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,16,0,0,0,0,0,,20190101 - 20190622,D05365
IDPs,,,Al Dhale'e,Jahaf,,Sharan - ????,1,Al Dhale'e,Qa'atabah,ODSG,2019-05-24,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,1,0,0,0,0,0,,20190101 - 20190622,D05528
IDPs,,,Al Dhale'e,Jahaf,,Sharan - ????,46,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-24,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,46,0,0,0,0,0,,20190101 - 20190622,D05529
IDPs,,,Al Maharah,Shahan,,Shahen Center - ???? ???,1,Dhamar,Dhamar City,ODOG,2019-05-24,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05555
IDPs,,,Al Mahwit,Al Mahwait,,Al-Ahad Market - ??? ?????,1,Amanat Al Asimah,Ma'ain,ODOG,2019-05-24,Other,Other,,Access to income,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05614
IDPs,,,Marib,Marib City,,Al Ruwdah - ??????,2,Taizz,Al Misrakh,ODOG,2019-05-24,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,1,0,0,0,1,0,,20190101 - 20190622,D05641
IDPs,,,Sana'a,Sanhan,, - ????? ????,1,Taizz,Maqbanah,ODOG,2019-05-24,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05699
IDPs,,,Sana'a,Sanhan,,Al-Qaran - ??????,1,Al Hudaydah,Al Hawak,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05703
IDPs,,,Hadramaut,Sayun,,Shahuh - ????,3,Ibb,Ba'dan,ODOG,2019-05-24,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D05710
IDPs,,,Raymah,Bilad At Ta'am,,Al-Hesn (Fort) - ?????,1,Al Hudaydah,Al Hawak,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D05717
IDPs,,,Ibb,As Sayyani,,Al-Ruas - ??????,2,Al Dhale'e,Qa'atabah,ODOG,2019-05-24,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05903
IDPs,,,Marib,Marib City,,Al Maghawir Walshabwani - ???????? ?????????,2,Taizz,Sabir Al Mawadim,ODOG,2019-05-24,Conflict,General Conflict,,Household Items (NFI),0,0,0,0,0,0,0,1,0,1,0,,20190101 - 20190622,D05961
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,3,Hajjah,Kuhlan Affar,ODOG,2019-05-24,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,0,1,2,0,,20190101 - 20190622,D05966
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,5,Hajjah,Kushar,ODOG,2019-05-24,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,1,2,2,0,,20190101 - 20190622,D05977
IDPs,,,Amanat Al Asimah,Bani Al Harith,, - ,1,Al Hudaydah,Al Hawak,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D06142
IDPs,,,Amanat Al Asimah,Bani Al Harith,, - ,1,Al Hudaydah,Al Hali,ODOG,2019-05-24,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D06143
IDPs,,,Taizz,Mawiyah,,Al-Qudhah - ??????,2,Taizz,Mawiyah,SDSG,2019-05-24,Conflict,General Conflict,,Financial support,0,0,0,2,0,0,0,0,0,0,0,,20190101 - 20190622,D06151
IDPs,,,Hajjah,Khayran Al Muharraq,,Al-Mashaf - ??????,4,Hajjah,Mustaba,ODSG,2019-05-25,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,4,0,0,0,0,,20190101 - 20190622,D04679
IDPs,,,Amanat Al Asimah,As Sabain,, - ,3,Al Hudaydah,Ad Durayhimi,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,0,3,0,0,,20190101 - 20190622,D04996
IDPs,,,Amanat Al Asimah,As Sabain,, - ,4,Al Hudaydah,Bajil,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D04997
IDPs,,,Amanat Al Asimah,As Sabain,, - ,1,Taizz,Al Qahirah,ODOG,2019-05-25,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D04998
IDPs,,,Amanat Al Asimah,As Sabain,, - ,8,Taizz,Sama,ODOG,2019-05-25,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,0,8,0,0,,20190101 - 20190622,D04999
IDPs,,,Amanat Al Asimah,As Sabain,, - ,7,Al Hudaydah,Jabal Ra's,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,7,0,0,0,,20190101 - 20190622,D05000
IDPs,,,Amanat Al Asimah,As Sabain,, - ,4,Al Hudaydah,Al Mina,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D05001
IDPs,,,Amanat Al Asimah,As Sabain,, - ,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05002
IDPs,,,Amanat Al Asimah,As Sabain,, - ,1,Al Hudaydah,Az Zaydiyah,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05014
IDPs,,,Amanat Al Asimah,As Sabain,, - ,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05015
IDPs,,,Amanat Al Asimah,As Sabain,, - ,1,Taizz,Maqbanah,ODOG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05016
IDPs,,,Hajjah,Mustaba,,Abeid Jabal - ??? ????,45,Hajjah,Mustaba,SDSG,2019-05-25,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,45,0,0,0,0,,20190101 - 20190622,D05020
IDPs,,,Taizz,Maqbanah,,Al-Camb - ?????,1,Taizz,Al Mudhaffar,ODSG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05028
IDPs,,,Ibb,Mudhaykhirah,,Al-Hwal Al-Ber - ????? ????,1,Ibb,Al Dhihar,ODSG,2019-05-25,Other,Other,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05047
IDPs,,,Ibb,Mudhaykhirah,,Al-Hwal Al-Ber - ????? ????,1,Al Hudaydah,Al Hawak,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05048
IDPs,,,Ibb,Mudhaykhirah,,Al-Marwanah - ????????,2,Al Dhale'e,Qa'atabah,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05052
IDPs,,,Ibb,Mudhaykhirah,,Barah - ????,2,Taizz,Al Qahirah,ODOG,2019-05-25,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05058
IDPs,,,Ibb,Mudhaykhirah,,Barah - ????,1,Al Dhale'e,Qa'atabah,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Financial support,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05059
IDPs,,,Amanat Al Asimah,Shu'aub,, - ,1,Taizz,Salh,ODOG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05088
IDPs,,,Amanat Al Asimah,Shu'aub,, - ,1,Al Hudaydah,Al Hawak,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05091
IDPs,,,Taizz,Al Mudhaffar,, - ??? ?????,1,Taizz,Al  Mukha,ODSG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05100
IDPs,,,Taizz,Al Mudhaffar,, - ????? ?????,2,Ibb,Al Udayn,ODOG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D05102
IDPs,,,Taizz,Al Mudhaffar,, - ???? ????,1,Sana'a,Nihm,ODOG,2019-05-25,Other,Other,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05121
IDPs,,,Al Mahwit,Al Mahwait,,Al-Qarn - ?????,1,Amanat Al Asimah,As Sabain,ODOG,2019-05-25,Other,Other,,Access to income,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05196
IDPs,,,Amanat Al Asimah,Al Wahdah,, - ,1,Taizz,Hayfan,ODOG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05253
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah - ??????,5,Sana'a,Nihm,ODSG,2019-05-25,Other,Other,,Food,0,0,0,1,0,0,0,4,0,0,0,,20190101 - 20190622,D05313
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah - ??????,5,Sana'a,Nihm,ODSG,2019-05-25,Other,Other,,Food,0,0,0,2,0,0,0,3,0,0,0,,20190101 - 20190622,D05314
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah - ??????,1,Al Hudaydah,Al Hawak,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05317
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah - ??????,1,Al Hudaydah,Al Mina,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05319
IDPs,,,Sana'a,Bani Hushaysh,,Al-Oshah - ?????,1,Taizz,Al Mawasit,ODOG,2019-05-25,Other,Other,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05321
IDPs,,,Sana'a,Bani Hushaysh,,Al-Oshah - ?????,3,Al Hudaydah,Al Mina,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D05324
IDPs,,,Al Dhale'e,Al Husha,,Hawshab - ????,4,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,4,0,0,,20190101 - 20190622,D05348
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Qarein - ??????,3,Al Dhale'e,Ad Dhale'e,SDSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,3,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D05349
IDPs,,,Al Dhale'e,Jahaf,,Qarn Aali - ??? ????,2,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05366
IDPs,,,Al Dhale'e,Jahaf,,Qarn Aali - ??? ????,1,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05367
IDPs,,,Al Dhale'e,Ash Shu'ayb,,Al-Qahrah - ??????,1,Al Hudaydah,At Tuhayat,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D05373
IDPs,,,Hajjah,Aflah Ash Shawm,,Al-Hadb - ?????,1,Hajjah,Abs,ODSG,2019-05-25,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05437
IDPs,,,Al Dhale'e,Jahaf,,Shab Al-Arjady - ??? ???????,1,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05520
IDPs,,,Al Dhale'e,Jahaf,,Al-Thari - ??????,2,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05524
IDPs,,,Al Dhale'e,Jahaf,,Al-Cawmalah Al-Olya - ??????? ??????,1,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D05525
IDPs,,,Lahj,Tuban,, - ??????,1,Al Hudaydah,Al Hawak,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05578
IDPs,,,Lahj,Tuban,, - ??????,2,Al Hudaydah,Zabid,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D05579
IDPs,,,Al Maharah,Al Ghaydah,,Muhaifeef - ??????,6,Al Hudaydah,Hays,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,6,0,0,0,,20190101 - 20190622,D05581
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Ashry - ??????,1,Al Dhale'e,Al Husha,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05590
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Ashry - ??????,6,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,6,0,0,,20190101 - 20190622,D05591
IDPs,,,Al Dhale'e,Jahaf,,Al-Cawmalah Al-Sufla - ??????? ??????,2,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D05609
IDPs,,,Al Dhale'e,Jahaf,,Al-Cawmalah Al-Sufla - ??????? ??????,1,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05610
IDPs,,,Marib,Marib City,,Al Ruwdah - ??????,5,Taizz,Dimnat Khadir,ODOG,2019-05-25,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,2,0,0,1,2,0,0,,20190101 - 20190622,D05637
IDPs,,,Marib,Harib,,"AlJawal Atteyah,Al Akhsami - ?????? ???? ??? ?????",4,Sana'a,Al Haymah Al Kharijiyah,ODOG,2019-05-25,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,4,0,0,,20190101 - 20190622,D05667
IDPs,,,Sana'a,Sanhan,, - ????? ????,1,Taizz,Salh,ODOG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05698
IDPs,,,Sana'a,Sanhan,,Qa'a Al-Qeidhi - ??? ??????,1,Ibb,As Saddahgf,ODOG,2019-05-25,Other,Other,,Financial support,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05702
IDPs,,,Hadramaut,Sayun,,Saleelah - ?????,2,Al Hudaydah,Zabid,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D05709
IDPs,,,Hadramaut,Sayun,,Mareimat Al-Jadeedah - ????? ???????,2,Hajjah,Ku'aydinah,ODOG,2019-05-25,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D05711
IDPs,,,Raymah,Bilad At Ta'am,,Sama - ???,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05716
IDPs,,,Raymah,Bilad At Ta'am,, - ??????,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,0,1,,20190101 - 20190622,D05719
IDPs,,,Taizz,Maqbanah,,Hajdah - ????,4,Taizz,Maqbanah,SDSG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D05733
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Ashry - ??????,1,Al Dhale'e,Al Husha,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05740
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Ashry - ??????,6,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,6,0,0,,20190101 - 20190622,D05741
IDPs,,,Dhamar,Dhamar City,,Dhmar City - ????? ????,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D05836
IDPs,,,Ibb,As Sayyani,,Al-Nejd Al-Ahmar - ????? ??????,4,Al Dhale'e,Qa'atabah,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,1,3,0,0,,20190101 - 20190622,D05908
IDPs,,,Ibb,As Sayyani,,Manzel Nakhlan - ???? ?????,3,Al Dhale'e,Qa'atabah,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,3,0,0,,20190101 - 20190622,D05910
IDPs,,,Taizz,Al Mawasit,,Al-Hanhan - ??????,1,Al Hudaydah,Al Hali,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D05915
IDPs,,,Ibb,Ba'dan,,Al-Kharshabah - ???????,1,Al Dhale'e,Ad Dhale'e,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Financial support,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D05926
IDPs,,,Ibb,Ba'dan,,Yamod - ????,3,Al Dhale'e,Qa'atabah,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Financial support,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D05930
IDPs,,,Ibb,Ba'dan,,Al-Ahad Market - ??? ?????,2,Al Dhale'e,Juban,ODOG,2019-05-25,Conflict,Al Dhale'e Conflict,,Financial support,0,0,0,0,0,0,0,0,0,0,2,,20190101 - 20190622,D05933
IDPs,,,Marib,Marib City,,Al Siyanah - ???????,2,Al Hudaydah,Bajil,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,1,0,,20190101 - 20190622,D05940
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,2,Al Hudaydah,Jabal Ra's,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,1,0,,20190101 - 20190622,D05963
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,4,Hajjah,Al Mahabishah,ODOG,2019-05-25,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,2,1,1,0,,20190101 - 20190622,D05969
IDPs,,,Marib,Marib City,,Al Rumaylah - ???????,3,Hajjah,Ash Shahil,ODOG,2019-05-25,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,1,0,,20190101 - 20190622,D05976
IDPs,,,Taizz,Al Mudhaffar,, - ??????? ???????,1,Taizz,Mawiyah,ODSG,2019-05-25,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D06042
IDPs,,,Taizz,Al Mudhaffar,, - ???? ??????,4,Al Hudaydah,Ad Durayhimi,ODOG,2019-05-25,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,3,1,0,0,,20190101 - 20190622,D06053
IDPs,,,Al Dhale'e,Jahaf,,Sharan - ????,2,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,2,0,0,0,0,0,,20190101 - 20190622,D06077
IDPs,,,Al Dhale'e,Jahaf,,Al-Thari - ??????,3,Al Dhale'e,Qa'atabah,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,3,0,,20190101 - 20190622,D06078
IDPs,,,Al Dhale'e,Jahaf,,Al-Acamah - ??????,4,Al Dhale'e,Ad Dhale'e,ODSG,2019-05-25,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,4,0,0,0,0,0,0,0,,20190101 - 20190622,D06079
